id,"name",province_id,"created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
1,"武汉市",1,"2010-08-12 10:41:22","2012-10-12 17:57:57",53907,1,NULL,11,4,1
2,"宜昌市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,64,2,1
3,"十堰市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,146,2,1
4,"咸宁市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,174,2,1
5,"孝感市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,251,2,1
6,"荆门市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,117,2,1
7,"随州市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,191,2,1
8,"襄樊市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,121,2,1
9,"省直辖县级行政单位",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,148,2,1
10,"荆州市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,129,2,1
11,"恩施土家族苗族自治州",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,227,2,1
12,"黄石市",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,122,2,1
13,"黄冈市",1,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,991,2,1
14,"鄂州市",1,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,256,2,1
15,"菏泽市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,219,2,1
16,"泰安市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,82,2,1
17,"济宁市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,63,2,1
18,"济南市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,26,2,1
19,"德州市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,991,2,1
20,"滨州市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,255,2,1
21,"烟台市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,36,2,1
22,"聊城市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,233,2,1
23,"莱芜市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,202,2,1
24,"枣庄市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,186,2,1
25,"青岛市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,18,2,1
26,"东营市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,211,2,1
27,"临沂市",2,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,88,2,1
28,"日照市",2,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,237,2,1
29,"威海市",2,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,48,2,1
30,"淄博市",2,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,69,2,1
31,"潍坊市",2,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,89,2,1
32,"镇江市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,55,2,1
33,"淮安市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,155,2,1
34,"南通市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,25,2,1
35,"扬州市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,109,2,1
36,"苏州市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,12,2,1
37,"泰州市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,68,2,1
38,"连云港市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,145,2,1
39,"徐州市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,73,2,1
40,"盐城市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,118,2,1
41,"宿迁市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,127,2,1
42,"常州市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,27,2,1
43,"无锡市",3,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,17,2,1
44,"南京市",3,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,10,2,1
45,"上海市",4,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,2,2,1
46,"北京市",5,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,1,1,1
47,"钦州市",6,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,119,2,1
48,"玉林市",6,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,204,2,1
49,"柳州市",6,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,181,2,1
50,"百色市",6,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,265,2,1
51,"崇左市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,253,2,1
52,"河池市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,276,2,1
53,"北海市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,131,2,1
54,"桂林市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,52,2,1
55,"防城港市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,201,2,1
56,"梧州市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,227,2,1
57,"贺州市",6,"2010-08-12 10:41:26","2012-09-25 19:14:35",1,1,NULL,991,2,1
