id,"name","created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
1,"中国","2010-08-12 10:41:22","2012-09-25 19:14:34",1,1,NULL,1,1,1
2,"朝鲜","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
3,"韩国","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
4,"蒙古","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
5,"日本","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
6,"越南","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
7,"老挝","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
8,"柬埔寨","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
9,"缅甸","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
10,"泰国","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
11,"马来西亚","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
12,"文莱","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
13,"新加坡","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
14,"印度尼西亚","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
15,"东帝汶","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
16,"菲律宾","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
17,"印度","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
18,"尼泊尔","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
19,"锡金","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
20,"不丹","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
21,"斯里兰卡","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
22,"马尔代夫","2010-08-12 10:41:47","2012-09-25 19:14:34",1,1,NULL,1,1,1
