id,"name",country_id,"created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
1,"湖北省",1,"2010-08-12 10:41:22","2012-09-25 19:14:35",1,1,NULL,14,1,1
2,"山东省",1,"2010-08-12 10:41:23","2012-09-25 19:14:35",1,1,NULL,7,1,1
3,"江苏省",1,"2010-08-12 10:41:24","2012-09-25 19:14:35",1,1,NULL,6,1,1
4,"上海市",1,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,2,1,1
5,"北京市",1,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,1,1,1
6,"广西壮族自治区",1,"2010-08-12 10:41:25","2012-09-25 19:14:35",1,1,NULL,20,1,1
7,"安徽省",1,"2010-08-12 10:41:27","2012-09-25 19:14:35",1,1,NULL,16,1,1
8,"湖南省",1,"2010-08-12 10:41:27","2012-09-25 19:14:35",1,1,NULL,13,1,1
9,"福建省",1,"2010-08-12 10:41:28","2012-09-25 19:14:35",1,1,NULL,15,1,1
10,"吉林省",1,"2010-08-12 10:41:29","2012-09-25 19:14:35",1,1,NULL,22,1,1
11,"宁夏回族自治区",1,"2010-08-12 10:41:30","2012-09-25 19:14:35",1,1,NULL,29,1,1
12,"河北省",1,"2010-08-12 10:41:30","2012-09-25 19:14:35",1,1,NULL,10,1,1
13,"青海省",1,"2010-08-12 10:41:32","2012-09-25 19:14:35",1,1,NULL,30,1,1
14,"云南省",1,"2010-08-12 10:41:32","2012-09-25 19:14:35",1,1,NULL,24,1,1
15,"重庆市",1,"2010-08-12 10:41:33","2012-09-25 19:14:35",1,1,NULL,4,1,1
16,"浙江省",1,"2010-08-12 10:41:33","2012-09-25 19:14:35",1,1,NULL,8,1,1
17,"内蒙古自治区",1,"2010-08-12 10:41:34","2012-09-25 19:14:35",1,1,NULL,17,1,1
18,"山西省",1,"2010-08-12 10:41:35","2012-09-25 19:14:35",1,1,NULL,23,1,1
19,"天津市",1,"2010-08-12 10:41:36","2012-09-25 19:14:35",1,1,NULL,3,1,1
20,"澳门特别行政区",1,"2010-08-12 10:41:36","2012-09-25 19:17:28",1,1,NULL,34,4,0
21,"甘肃省",1,"2010-08-12 10:41:36","2012-09-25 19:14:35",1,1,NULL,27,1,1
22,"四川省",1,"2010-08-12 10:41:37","2012-09-25 19:14:35",1,1,NULL,12,1,1
23,"广东省",1,"2010-08-12 10:41:38","2012-09-25 19:14:35",1,1,NULL,5,1,1
24,"河南省",1,"2010-08-12 10:41:39","2012-09-25 19:14:35",1,1,NULL,9,1,1
25,"香港特别行政区",1,"2010-08-12 10:41:41","2012-09-25 19:17:23",1,1,NULL,33,4,0
26,"新疆维吾尔自治区",1,"2010-08-12 10:41:41","2012-09-25 19:14:35",1,1,NULL,25,1,1
27,"贵州省",1,"2010-08-12 10:41:42","2012-09-25 19:14:35",1,1,NULL,26,1,1
28,"海南省",1,"2010-08-12 10:41:43","2012-09-25 19:14:35",1,1,NULL,29,1,1
29,"黑龙江省",1,"2010-08-12 10:41:43","2012-09-25 19:14:35",1,1,NULL,18,1,1
30,"陕西省",1,"2010-08-12 10:41:44","2012-09-25 19:14:35",1,1,NULL,19,1,1
31,"江西省",1,"2010-08-12 10:41:45","2012-09-25 19:14:35",1,1,NULL,21,1,1
32,"台湾省",1,"2010-08-12 10:41:45","2013-03-08 11:26:14",53907,1,NULL,32,6,0
33,"辽宁省",1,"2010-08-12 10:41:46","2012-09-25 19:14:35",1,1,NULL,11,1,1
34,"西藏自治区",1,"2010-08-12 10:41:46","2012-09-25 19:14:35",1,1,NULL,31,1,1
